"Player","Pos","X3P","X3PA","X3P.","year"
"Jon Leuer","PF-C",0,3,0,"2012"
"Jon Leuer","C",0,3,0,"2012"
"Rashard Lewis","PF",51,131,0.389,"2012"
"DeAndre Liggins","SG",7,19,0.368,"2012"
"Damian Lillard","PG",185,503,0.368,"2012"
"Jeremy Lin","PG",87,257,0.339,"2012"
"Shaun Livingston","PG",0,4,0,"2012"
"Shaun Livingston","PG",0,3,0,"2012"
"Shaun Livingston","PG",0,1,0,"2012"
"Brook Lopez","C",0,1,0,"2012"
"Kevin Love","PF",20,92,0.217,"2012"
"Kyle Lowry","PG",101,279,0.362,"2012"
"John Lucas III","PG",57,151,0.377,"2012"
"Scott Machado","PG",0,1,0,"2012"
"Shelvin Mack","PG-SG",18,49,0.367,"2012"
"Shelvin Mack","PG",4,13,0.308,"2012"
"Shelvin Mack","SG",0,1,0,"2012"
"Shelvin Mack","PG",14,35,0.4,"2012"
"Corey Maggette","SF",5,21,0.238,"2012"
"Ian Mahinmi","C",0,2,0,"2012"
"Shawn Marion","PF",23,73,0.315,"2012"
"Kendall Marshall","PG",23,73,0.315,"2012"
"Cartier Martin","SF",58,146,0.397,"2012"
"Kevin Martin","SG",158,371,0.426,"2012"
"Roger Mason","SG",66,159,0.415,"2012"
"Wesley Matthews","SG",169,425,0.398,"2012"
"Eric Maynor","PG-SG",34,96,0.354,"2012"
"Eric Maynor","PG",15,46,0.326,"2012"
"Eric Maynor","SG",19,50,0.38,"2012"
"O.J. Mayo","SG",142,349,0.407,"2012"
"Luc Mbah a Moute","SF",13,37,0.351,"2012"
"JaVale McGee","C",1,1,1,"2012"
"Josh McRoberts","PF",24,84,0.286,"2012"
"Josh McRoberts","PF",17,55,0.309,"2012"
"Josh McRoberts","PF",7,29,0.241,"2012"
"Jodie Meeks","SG",122,342,0.357,"2012"
"Khris Middleton","SG",14,45,0.311,"2012"
"C.J. Miles","SF",126,328,0.384,"2012"
"Andre Miller","PG",17,64,0.266,"2012"
"Darius Miller","SF",22,56,0.393,"2012"
"Mike Miller","SF",73,175,0.417,"2012"
"Quincy Miller","PF",0,1,0,"2012"
"Patty Mills","PG",52,130,0.4,"2012"
"Paul Millsap","PF",13,39,0.333,"2012"
"Nazr Mohammed","C",0,2,0,"2012"
"Greg Monroe","C",0,4,0,"2012"
"E'Twaun Moore","SG",67,197,0.34,"2012"
"Darius Morris","PG",24,66,0.364,"2012"
"Marcus Morris","PF-SF",86,233,0.369,"2012"
"Marcus Morris","PF",74,194,0.381,"2012"
"Marcus Morris","SF",12,39,0.308,"2012"
"Markieff Morris","PF",45,134,0.336,"2012"
"Anthony Morrow","SG",16,43,0.372,"2012"
"Anthony Morrow","SG",15,38,0.395,"2012"
"Anthony Morrow","SG",1,5,0.2,"2012"
"Donatas Motiejūnas","PF",24,83,0.289,"2012"
"Timofey Mozgov","C",0,2,0,"2012"
"Byron Mullens","PF",66,208,0.317,"2012"
"Kevin Murphy","SG",1,5,0.2,"2012"
"Troy Murphy","PF",11,35,0.314,"2012"
"Steve Nash*","PG",57,130,0.438,"2012"
"Gary Neal","SG",89,251,0.355,"2012"
"Jameer Nelson","PG",121,355,0.341,"2012"
"Joakim Noah","C",0,5,0,"2012"
